what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641662218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641667388
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641700295
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641709904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641801243
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641982190
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1403642006600
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642027772
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1403642070038
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1403642072137
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403642095378
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1403642111502
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642115244
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642126424
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642126561
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642126910
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1403642126918
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642129079
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642129116
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403642215555
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1403642217802
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642222252
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642233115
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642233214
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642233533
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1403642233540
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1403642233544
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642233820
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403642236603
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642238836
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403642240464
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642243502
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642245456
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642245456
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642246556
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642249374
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642249374
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403642253014
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642255614
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642255646
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642291845
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642294071
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1403642298042
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642298853
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1403642300831
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642305229
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403642323497
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642411881
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642451395
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1403642459935
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1403642461515
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642472370
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403642475712
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403642481394
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403642540105
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403643098033
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403643919260
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403643920597
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403643930632
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403643938861
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644197453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644296278
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644536696
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644712475
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644801995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644936778
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644946013
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644948846
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1403644951167
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403644985538
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403645122155
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403645189810
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403645322461
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403645330707
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1403645355086
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403645355365
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403645361865
