what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403743492987
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799015760
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799066424
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799221561
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799222758
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799479497
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799503711
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799504788
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799519524
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799639083
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403799646436
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799745450
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799782120
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403799788050
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403800363196
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403800386171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403800391592
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403800398649
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403800400314
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403800519728
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403800521125
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1403800570158
