what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403820362329
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403820364057
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403820366464
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403820505681
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403820706194
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403820711448
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403820775990
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403820781656
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1403820790331
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403820791912
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403820911401
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403820911507
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403820911518
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403820913153
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403820928713
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403820933234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821036286
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821040960
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821042995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821078932
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821082116
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821082154
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821095339
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.backwardHistory",1403821095340
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821101452
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821119000
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821123416
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821197086
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821237802
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821241207
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821248187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821253950
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821257071
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821267403
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821268533
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821271724
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821280969
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821282296
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821288122
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821384378
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821435369
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821443171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821445092
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821448096
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821457111
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821460449
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821460449
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1403821462526
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403821505153
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403825910008
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403825939196
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403826716032
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403826717810
